課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
1-1,1.        ,小玲,Xiǎolíng ,,"Xiaoling, female","Xiaoling, nữ","เสี่ยวหลิง, ผู้หญิง",Xiaoling၊ အမျိုးသမီး,シャオリン、女性,샤오링(여),"Xiaoling, mujer","Xiaoling, perempuan",4
1-1,2.        ,阿建,Ājiàn ,,"Ajian, male","Ajian, nam","อาเจี้ยน, ผู้ชาย",အာကျန့်၊ အမျိုးသား,アージエン、男性,"아젠, 남성","Ajian, hombre","Ajian, laki-laki",4
1-1,3.        ,聊天室,liáotiānshì ,N,"chatroom (室 -shì, room)",phòng chat,"ห้องสนทนา (室 -shì, ห้อง)",စကားပြောခန်း (室 -shì၊ အခန်း),チャットルーム（室 -shì、部屋）,"대화방 (室 -shì, 방)","sala de chat (室 -shì, sala)","ruang obrolan (室 -shì, ruangan)",4
1-1,4.        ,上班族,shàngbānzú ,N,"(office) workers (族 -zú, group)",dân văn phòng,"(ออฟฟิศ) คนงาน (族 -zú, กลุ่ม)",(ရုံး) အလုပ်သမားများ (族 -zú၊ အုပ်စု)၊,(オフィス) 労働者 (族 -zú、グループ),"(사무실) 근로자 (族 -zú, 그룹)","trabajadores (de oficina) (族 -zú, grupo)","(kantor) pekerja (族 -zú, grup)",4
1-1,5.        ,與其,yǔqí ,Conj,rather than…,thay vì…,แทนที่จะเป็น...,မည့်အစား…,それよりも…,오히려…,en vez de…,daripada…,4
1-1,6.        ,冷清,lěngqīng ,Vs,"deserted, empty","hoang vắng, trống rỗng",ร้างว่างเปล่า,စွန့်လွတ်၊,人けのない、空っぽの,"버려진, 비어 있는","desierto, vacío","sepi, kosong",4
1-1,7.        ,高就,gāojiù ,Vi,to work (honorific),làm việc (kính ngữ),ไปทำงาน (ให้เกียรติ),အလုပ်လုပ်ရန် (ဂုဏ်ပြု),仕事する（敬語）,일하다 (경어),trabajar (honorífico),bekerja (kehormatan),4
1-1,8.        ,部門,bùmén ,N,department,"bộ phận, ban",แผนก,ဌာန,部門,부서,departamento,departemen,4
1-1,9.        ,厲害,lìhài ,Vs,"impressive, good, awesome","ấn tượng, tốt, tuyệt vời",น่าประทับใจดียอดเยี่ยม,အထင်ကြီးစရာ၊ ကောင်းသည်၊ အံ့သြဖွယ်,印象的な、良い、素晴らしい,"인상적이다, 좋다, 굉장하다","impresionante, bueno, impresionante","mengesankan, bagus, luar biasa",4
1-1,10.     ,加班,jiābān ,V-sep,to work overtime,làm thêm giờ,เพื่อทำงานล่วงเวลา,အချိန်ပိုအလုပ်လုပ်ရန်,残業する,초과 근무를 하다,trabajar horas extras,bekerja lembur,4
1-1,11.     ,類,lèi ,M,"kind, type","loại, kiểu",ชนิด (cha nit),အမျိုးအစား (a myo a sar),種類 (shurui),종류 (jongnyu),"clase, tipo","jenis, tipe",4
